User_id,Date,itemDescription,year,month,day,day_of_week
2351,1/01/2014,cleaner,2014,1,1,2
2226,1/01/2014,sausage,2014,1,1,2
1922,1/01/2014,tropical fruit,2014,1,1,2
2943,1/01/2014,whole milk,2014,1,1,2
1249,1/01/2014,citrus fruit,2014,1,1,2
3681,1/01/2014,onions,2014,1,1,2
1440,1/01/2014,other vegetables,2014,1,1,2
2974,1/01/2014,berries,2014,1,1,2
2727,1/01/2014,hamburger meat,2014,1,1,2
1789,1/01/2014,hamburger meat,2014,1,1,2
3942,1/01/2014,other vegetables,2014,1,1,2
2610,1/01/2014,hamburger meat,2014,1,1,2
2237,1/01/2014,bottled water,2014,1,1,2
4942,1/01/2014,butter,2014,1,1,2
3956,1/01/2014,yogurt,2014,1,1,2
2709,1/01/2014,yogurt,2014,1,1,2
3797,1/01/2014,waffles,2014,1,1,2
4260,1/01/2014,soda,2014,1,1,2
2542,1/01/2014,sliced cheese,2014,1,1,2
1381,1/01/2014,curd,2014,1,1,2
1659,1/01/2014,specialty chocolate,2014,1,1,2
2351,1/01/2014,shopping bags,2014,1,1,2
2226,1/01/2014,bottled water,2014,1,1,2
1922,1/01/2014,other vegetables,2014,1,1,2
2943,1/01/2014,flower (seeds),2014,1,1,2
1249,1/01/2014,coffee,2014,1,1,2
3681,1/01/2014,whipped/sour cream,2014,1,1,2
1440,1/01/2014,yogurt,2014,1,1,2
2974,1/01/2014,whipped/sour cream,2014,1,1,2
2727,1/01/2014,frozen potato products,2014,1,1,2
1789,1/01/2014,candles,2014,1,1,2
3942,1/01/2014,yogurt,2014,1,1,2
2610,1/01/2014,bottled beer,2014,1,1,2
2237,1/01/2014,Instant food products,2014,1,1,2
4942,1/01/2014,frozen vegetables,2014,1,1,2
3956,1/01/2014,shopping bags,2014,1,1,2
2709,1/01/2014,frozen vegetables,2014,1,1,2
3797,1/01/2014,whole milk,2014,1,1,2
4260,1/01/2014,brown bread,2014,1,1,2
2542,1/01/2014,bottled water,2014,1,1,2
1381,1/01/2014,soda,2014,1,1,2
1659,1/01/2014,frozen vegetables,2014,1,1,2
3942,1/01/2014,Instant food products,2014,1,1,2
2610,1/01/2014,domestic eggs,2014,1,1,2
3956,1/01/2014,waffles,2014,1,1,2
3681,1/01/2014,dishes,2014,1,1,2
3956,1/01/2014,chocolate,2014,1,1,2
2974,1/01/2014,bottled water,2014,1,1,2
2472,2/01/2014,other vegetables,2014,1,2,3
4408,2/01/2014,pip fruit,2014,1,2,3
1814,2/01/2014,frankfurter,2014,1,2,3
4860,2/01/2014,sugar,2014,1,2,3
