item,score
specialty bar,0.05584757116399024
white wine,0.04155345290042283
dish cleaner,0.03657925393689359
meat,0.03285450050618618
mustard,0.03122861856104446
flower (seeds),0.03056137908781581
frozen fish,0.025387187748824043
meat spreads,0.022100185138483844
pickled vegetables,0.02035500307888991
canned vegetables,0.02012997099915645
ham,0.020110950794436637
ice cream,0.01923578882102598
cling film/bags,0.018779089837810643
packaged fruit/vegetables,0.018720553988913032
specialty fat,0.01792460983918034
light bulbs,0.017105652816011268
cereals,0.01693506668694018
syrup,0.014970849149602453
chicken,0.014897194337449286
vinegar,0.01467636566870474
