item,score
misc. beverages,0.20207798045721242
cat food,0.12556986412836918
sliced cheese,0.11678272837749933
hard cheese,0.062349096144688705
meat,0.05394042507154383
cling film/bags,0.03203491506119009
domestic eggs,0.031828320798729666
frankfurter,0.03162135445995707
waffles,0.031505764470468156
sausage,0.029442633414509357
pet care,0.028827873708197557
sugar,0.026785897988308067
pasta,0.02663985616390753
seasonal products,0.025830524131018245
dessert,0.02581297276991372
zwieback,0.025398164491430404
cream cheese,0.025076413271506132
roll products,0.02450162367189507
oil,0.024144974175663803
photo/film,0.023201164399370887
