support,itemsets,length,itemsets_str
0.0527448869752422,frozenset({'shopping bags'}),1,shopping bags
0.002272455447912929,frozenset({'cleaner'}),1,cleaner
0.06075828250209305,frozenset({'bottled water'}),1,bottled water
0.02571462743690946,frozenset({'sausage'}),1,sausage
0.10668580313359646,frozenset({'other vegetables'}),1,other vegetables
0.048797990670972374,frozenset({'tropical fruit'}),1,tropical fruit
0.1304867838775266,frozenset({'whole milk'}),1,whole milk
0.005621337160626719,frozenset({'flower (seeds)'}),1,flower (seeds)
0.03456524339193876,frozenset({'citrus fruit'}),1,citrus fruit
0.03061834708766894,frozenset({'coffee'}),1,coffee
0.04437268269345772,frozenset({'whipped/sour cream'}),1,whipped/sour cream
0.015787585217079295,frozenset({'onions'}),1,onions
0.008850615955029303,frozenset({'dishes'}),1,dishes
0.07857911733046287,frozenset({'yogurt'}),1,yogurt
0.016265996890324125,frozenset({'berries'}),1,berries
0.017222820236813777,frozenset({'hamburger meat'}),1,hamburger meat
0.005382131324004306,frozenset({'frozen potato products'}),1,frozen potato products
0.004186102140892238,frozenset({'candles'}),1,candles
0.0044253079775146515,frozenset({'instant food products'}),1,instant food products
0.040545389307499104,frozenset({'bottled beer'}),1,bottled beer
0.03970816887932065,frozenset({'domestic eggs'}),1,domestic eggs
0.034086831718693936,frozenset({'butter'}),1,butter
0.027508671211577563,frozenset({'frozen vegetables'}),1,frozen vegetables
0.023920583662241358,frozenset({'chocolate'}),1,chocolate
0.020332496112905156,frozenset({'waffles'}),1,waffles
0.09460590838416458,frozenset({'soda'}),1,soda
0.040186580552565486,frozenset({'brown bread'}),1,brown bread
0.014711158952278435,frozenset({'sliced cheese'}),1,sliced cheese
0.030139935414424113,frozenset({'curd'}),1,curd
0.01638559980863533,frozenset({'specialty chocolate'}),1,specialty chocolate
0.026671450783399116,frozenset({'white bread'}),1,white bread
0.03755531634971893,frozenset({'pip fruit'}),1,pip fruit
0.007534983853606028,frozenset({'frozen fish'}),1,frozen fish
0.012199497667743094,frozenset({'frankfurter'}),1,frankfurter
0.0031096758760913766,frozenset({'sparkling wine'}),1,sparkling wine
0.023681377825618945,frozenset({'cream cheese'}),1,cream cheese
0.0193756727664155,frozenset({'sugar'}),1,sugar
0.03671809592154049,frozenset({'fruit/vegetable juice'}),1,fruit/vegetable juice
