support,itemsets,length,itemsets_str
0.008013395526850856,frozenset({'baking powder'}),1,baking powder
0.022963760315751706,frozenset({'beef'}),1,beef
0.016265996890324125,frozenset({'berries'}),1,berries
0.01423274727903361,frozenset({'beverages'}),1,beverages
0.040545389307499104,frozenset({'bottled beer'}),1,bottled beer
0.06075828250209305,frozenset({'bottled water'}),1,bottled water
0.040186580552565486,frozenset({'brown bread'}),1,brown bread
0.034086831718693936,frozenset({'butter'}),1,butter
0.015428776462145676,frozenset({'butter milk'}),1,butter milk
0.006578160507116374,frozenset({'cake bar'}),1,cake bar
0.016026791053701712,frozenset({'candy'}),1,candy
0.034206434637005144,frozenset({'canned beer'}),1,canned beer
0.008850615955029303,frozenset({'canned fish'}),1,canned fish
0.006099748833871547,frozenset({'canned vegetables'}),1,canned vegetables
0.01423274727903361,frozenset({'cat food'}),1,cat food
0.012199497667743094,frozenset({'chewing gum'}),1,chewing gum
0.014711158952278435,frozenset({'chicken'}),1,chicken
0.023920583662241358,frozenset({'chocolate'}),1,chocolate
0.03456524339193876,frozenset({'citrus fruit'}),1,citrus fruit
0.005621337160626719,frozenset({'cling film/bags'}),1,cling film/bags
0.03061834708766894,frozenset({'coffee'}),1,coffee
0.005382131324004306,frozenset({'condensed milk'}),1,condensed milk
0.023681377825618945,frozenset({'cream cheese'}),1,cream cheese
0.030139935414424113,frozenset({'curd'}),1,curd
0.02320296615237412,frozenset({'dessert'}),1,dessert
0.008491807200095682,frozenset({'detergent'}),1,detergent
0.005621337160626719,frozenset({'dish cleaner'}),1,dish cleaner
0.008850615955029303,frozenset({'dishes'}),1,dishes
0.03970816887932065,frozenset({'domestic eggs'}),1,domestic eggs
0.009927042219830163,frozenset({'flour'}),1,flour
0.005621337160626719,frozenset({'flower (seeds)'}),1,flower (seeds)
0.012199497667743094,frozenset({'frankfurter'}),1,frankfurter
0.005621337160626719,frozenset({'frozen dessert'}),1,frozen dessert
0.007534983853606028,frozenset({'frozen fish'}),1,frozen fish
0.014830761870589642,frozenset({'frozen meals'}),1,frozen meals
0.005382131324004306,frozenset({'frozen potato products'}),1,frozen potato products
0.027508671211577563,frozenset({'frozen vegetables'}),1,frozen vegetables
0.03671809592154049,frozenset({'fruit/vegetable juice'}),1,fruit/vegetable juice
0.009807439301518957,frozenset({'grapes'}),1,grapes
