item,score
other vegetables,0.004604712354981461
soda,0.004544910895825858
rolls/buns,0.0041263006817366344
yogurt,0.0034086831718693937
bottled beer,0.002691065662002153
bottled water,0.002272455447912929
shopping bags,0.002272455447912929
newspapers,0.0022126539887573258
root vegetables,0.0020332496112905156
domestic eggs,0.001973448152134912
brown bread,0.001973448152134912
tropical fruit,0.0019136466929793087
canned beer,0.0016146393972012918
whipped/sour cream,0.0016146393972012918
margarine,0.0015548379380456883
pip fruit,0.0015548379380456883
